Date,Price,Open,High,Low,Volume,Close
05/19/2020,9773.30,9730.80,9883.90,9498.70,17165337858.00,9691.30
05/18/2020,9730.70,9678.40,9930.20,9524.40,17489094082.00,9727.30
05/17/2020,9677.70,9376.60,9866.00,9327.80,15352685061.00,9596.90
05/16/2020,9379.50,9318.10,9579.00,9233.00,16530894787.00,9406.00
05/15/2020,9318.00,9778.60,9819.60,9223.20,23875988832.00,9521.40
05/14/2020,9778.40,9298.70,9887.50,9265.80,23635107660.00,9576.65
05/13/2020,9298.70,8813.90,9384.60,8799.10,22194988641.00,9091.85
05-12-2020,8813.80,8569.80,8964.50,8542.80,19481591730.00,8753.65
05-11-2020,8579.80,8737.60,9129.60,8235.60,18339989960.00,8682.60
05-10-2020,8738.80,9553.90,9569.40,8259.30,18125355447.00,8914.35
05-09-2020,9554.60,9806.00,9910.50,9533.60,15774371518.00,9722.05
05-08-2020,9806.20,9980.10,10018.20,9731.40,13647198229.00,9874.80
05-07-2020,9979.80,9152.70,10033.00,9064.80,16681503537.00,9548.90
05-06-2020,9151.40,9000.60,9373.70,8923.60,19990838300.00,9148.65
05-05-2020,9001.00,8874.20,9078.70,8800.40,22899115082.00,8939.55
05-04-2020,8874.70,8885.50,8945.50,8553.20,20228207096.00,8749.35
05-03-2020,8885.50,8966.20,9169.90,8742.20,13778035685.00,8956.05
05-02-2020,8966.30,8821.60,8986.20,8771.30,12999813869.00,8878.75
05-01-2020,8821.60,8628.60,9040.30,8621.00,16038264603.00,8830.65
04/30/2020,8629.00,8770.60,9437.50,8425.50,15053082175.00,8931.50
04/29/2020,8770.90,7746.70,8918.50,7729.70,19473084768.00,8324.10
04/28/2020,7746.90,7766.00,7770.10,7655.30,17097508856.00,7712.70
04/27/2020,7766.00,7679.40,7768.50,7637.70,15627023886.00,7703.10
04/26/2020,7678.90,7540.40,7679.40,7520.50,15451030650.00,7599.95
04/25/2020,7540.40,7503.90,7684.60,7451.00,14153856610.00,7567.80
04/24/2020,7503.80,7491.30,7583.50,7423.50,18438654080.00,7503.50
04/23/2020,7488.50,7112.80,7655.40,7036.50,14762609503.00,7345.95
04/22/2020,7112.90,6842.50,7137.40,6821.80,17603790323.00,6979.60
04/21/2020,6842.50,6833.40,6919.30,6774.30,17045878501.00,6846.80
04/20/2020,6833.50,7122.90,7207.50,6771.20,13595263986.00,6989.35
04/19/2020,7122.90,7230.90,7238.00,7079.10,11454806419.00,7158.55
04/18/2020,7230.80,7035.90,7259.40,7031.50,11445355859.00,7145.45
04/17/2020,7035.80,7085.50,7142.80,7005.80,17248102294.00,7074.30
04/16/2020,7085.60,6629.10,7159.70,6520.50,19384917989.00,6840.10
04/15/2020,6629.10,6851.30,6929.50,6615.90,16742664769.00,6772.70
04/14/2020,6850.90,6841.80,6970.80,6768.60,14551239508.00,6869.70
04/13/2020,6841.30,6918.10,6920.30,6618.50,19536574783.00,6769.40
04-12-2020,6917.60,6867.90,7158.80,6785.10,15307366476.00,6971.95
04-11-2020,6867.80,6862.70,6931.40,6765.10,13670567493.00,6848.25
04-10-2020,6863.10,7289.00,7294.40,6756.10,17595943368.00,7025.25
04-09-2020,7289.00,7361.10,7361.10,7140.30,14906809639.00,7250.70
04-08-2020,7361.20,7185.60,7396.10,7153.10,15428063426.00,7274.60
04-07-2020,7185.20,7332.30,7440.30,7101.70,15323563925.00,7271.00
04-06-2020,7332.30,6772.80,7335.00,6770.10,14109864675.00,7052.55
04-05-2020,6772.70,6857.50,6889.40,6686.00,13468713124.00,6787.70
04-04-2020,6857.40,6735.90,6958.60,6679.10,12043433567.00,6818.85
04-03-2020,6735.90,6799.90,7026.30,6623.60,15160167779.00,6824.95
04-02-2020,6800.50,6638.80,7182.70,6567.90,15304603363.00,6875.30
04-01-2020,6638.50,6412.40,6661.30,6157.40,16169268880.00,6409.35
03/31/2020,6412.50,6391.10,6513.10,6346.30,19937691247.00,6429.70
